,"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
990,,
991,,
992,,
993,,
994,,
995,Yes,Reading the book
996,,
997,No,
998,No,
999,,
1000,Yes,To maintain the passed lessons taught by their teachers
1001,,
1002,,
1003,,
1004,,
1005,,
1006,,
1007,,
1008,,
1009,,
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,,
1017,,
1018,,
1019,,
1020,,
1021,,
1022,,
1023,,
1024,,
1025,Yes,Reading biology
1026,No,
1027,No,
1028,Yes,Some times I use to revise my subjects
1029,,
1030,,
1031,Yes,Cooking at home
1032,Yes,Cooking
1033,Yes,Washing and cooking
1034,Yes,Cooking
1035,Yes,Cooking
1036,Yes,Cooking
1037,Yes,Cooking
1038,Yes,Washing
1039,Yes,House activities 
1040,Yes,House activities 
1041,Yes,Cooking 
1042,No,
1043,No,
1044,,
1045,,
1046,,
1047,,
1048,Yes,I and my brother do revise our books and help each other.
1049,No,
1050,Yes,Group studies at home 
1051,Yes,I always revise my books 
1052,Yes,I am studying on my own 
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,Yes,"Read, exercise, collect firewood etc"
1060,,
1061,,
1062,Yes,"Read,play with my colleagues"
1063,Yes,Look after cattle and read my books
1064,Yes,"Read,help my parents with housework"
1065,No,
1066,Yes,I only revise my books 
1067,No,
1068,Yes,"Cooking, washing utencil"
1069,No,
1070,No,
1071,No,
1072,No,
1073,No,
1074,Yes,Washing clothes and cleaning compound.
1075,,
1076,,
1077,,
1078,,
1079,,
1080,,
1081,No,
1082,,
1083,,
1084,Yes,Revision of notes
1085,Yes,Do read my books
1086,Yes,Read textbooks and revise my notes
1087,,
1088,,
1089,Yes,Revise notes
1090,Yes,Revision
1091,Yes,Read if there is time
1092,Yes,Revision
1093,Yes,Revision
1094,Yes,Read my books
1095,Yes,"Read, and do house work"
1096,Yes,Collect the firewood and read my books
1097,,
1098,,
1099,,
1100,No,
1101,,
1102,,
1103,No,
1104,,
1105,,
1106,,
1107,,
1108,,
1109,,
1110,,
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1118,,
1119,,
1120,,
1121,,
1122,No,
1123,,
1124,Yes,Practising words problems
1125,,
1126,No,
1127,No,
1128,,
1129,Yes,"Pounding
Fetching water
Cultivation
Cutting grass and thatching House"
1130,No,
1131,No,
1132,No,
1133,,
1134,,
1135,No,
1136,No,
1137,No,
1138,No,
1139,Yes,"Taking care of children
Herding cows
Grazing goat when free time is available."
1140,Yes,Running small scale business in the market of Malek Alel
1141,Yes,Cultivation
1142,Yes,"Washing and cooking
Taking care of siblings"
1143,Yes,Running a small business in the market of Malek Alel
1144,,
1145,,
1146,,
1147,No,
1148,,
1149,,
1150,,
1151,,
1152,,
1153,,
1154,,
1155,,
1156,No,
1157,Yes,Demostic work
1158,,
1159,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1167,,
1168,,
1169,,
1170,,
1171,,
1172,,
1173,,
1174,,
1175,,
1176,,
1177,,
1178,,
1179,,
1180,,
1181,,
1182,,
1183,,
1184,,
1185,,
1186,,
1187,,
1188,,
1189,,
1190,,
1191,,
1192,,
1193,,
1194,,
